"Animal.ID","Animal.Name","Species","Gender","Date.Of.Birth","Primary.Breed","Secondary.Breed","Declawed","Distinguishing.Markings","Purebred","BodyWeight","BodyWeightUnit","PrimaryColor","SecondaryColor","ColorPattern","Intake.Date","Intake.Type","Intake.Subtype","Reason","Reason.Category"
1032415,"HARLEY","Cat","M","9/18/1999","Domestic Shorthair","Mix","None","",0,0,NA,"Black","White",NA,"03/18/2000 00:14:00","Owner/Guardian Surrender","Schedule","",NA
1032962,"TRUCKER","Cat","M","4/10/1998","Domestic Shorthair","Mix","None","",0,0,NA,"Grey",NA,"Tiger","04/06/2000 00:45:00","Stray","Walk In","",NA
1033799,"","Cat","M","2/2/2000","Domestic Longhair","Mix","None","",0,2,"pound","Black",NA,NA,"05/02/2000 00:37:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1033965,"","Cat","M","3/7/2000","Domestic Longhair","Mix","None","",0,0,NA,"Orange","White",NA,"05/07/2000 00:26:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1038328,"","Cat","M","8/3/2000","Domestic Shorthair","Mix","None","",0,0,NA,"Black","White",NA,"08/06/2000 00:06:00","Stray","Walk In","",NA
1048494,"PUDDY TAT","Cat","M","3/31/2001","Domestic Shorthair","Mix","Front","",0,0,NA,"Brown","Brown","Tiger","05/31/2001 00:08:00","Owner/Guardian Surrender","Walk In","Needs More Attention","Owner problem"
1052572,"MOPSY","Cat","F","9/1/2000","Domestic Shorthair","Mix","None","",0,0,NA,"Black",NA,"Tortoiseshell","09/01/2001 00:41:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
1053299,"BUSTER","Cat","M","9/19/1999","Domestic Shorthair","Mix","Front","",0,12,"pound","White","Black",NA,"09/18/2001 00:58:00","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
1054811,"FLOWER","Cat","F","9/8/2001","Domestic Shorthair","Mix","None","",0,0,NA,"White","Black",NA,"10/23/2001 00:22:00","Owner/Guardian Surrender","Walk In","Stray","Misc other"
1057979,"STELLA","Cat","F","4/14/2001","Domestic Shorthair","Mix","None","",0,0,NA,"Orange",NA,"Tiger","02/14/2002 00:54:00","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
1058958,"HERMIE","Cat","M","3/25/2001","Domestic Longhair","Mix","None","",0,0,NA,"White","Grey",NA,"03/25/2002 00:25:00","Owner/Guardian Surrender","Abandoned","",NA
1059256,"PATCH","Cat","F","4/6/2001","Domestic Shorthair","Mix","None","",0,0,NA,"White","Orange",NA,"04/05/2002 00:12:00","Owner/Guardian Surrender","Walk In","",NA
1060927,"DOTTIE","Cat","M","3/21/2002","Domestic Shorthair","Mix","None","",0,2.5,"pound","Black","White",NA,"05/21/2002 00:40:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1060950,"Jupiter","Cat","F","5/22/1998","Domestic Longhair","Mix","Front","",0,NA,NA,"Black","Orange","Tortoiseshell","05/22/2002 00:41:00","Owner/Guardian Surrender","Walk In","Needs More Attention","Owner problem"
